"Code","Name","Category","Unit","Current Stock","Minimum Stock","Cost","Price","Current Stock Value","Current Stock Cost","Amount Sold","Quantity Sold","Profit","Image_Path"
"","Evo Beauty Onion Leave-In 8oz","Produtos de Cabelo","unit","24",0,"5.6","7.95","190.8","134.399",0,0,0,"C:\\Users\\abner\\OneDrive\\Documents\\Discover Supply\\kyte_images_optimized\\evo_beauty_onion_leave_in_8oz.webp"
"17896229909640","Natuhair Oleo Capilar CBA c/6","Produtos de Cabelo","unit","0",0,"16.75","26.95","0","0",0,0,0,"C:\\Users\\abner\\OneDrive\\Documents\\Discover Supply\\kyte_images_optimized\\natuhair_oleo_capilar_cba_c_6.webp"
"","Cortador de Unha Merheje Disco c/ 12 Unidades ","Produtos de Unha ","unit","3",0,"12.59","18.9","56.699","37.769",0,0,0,""
"0000856105508","Mata Fungos Unha ","Farmácia ","unit","0",0,"4.65","6.95","0","0",0,0,0,""
"","Sal Andrews Classic c/ 50 Envelopes ","Farmácia ","unit","0",0,"15","29.9","0","0",0,0,0,""
"27898522372739","Depilflax Folhas Facial c/ 24 Folhas ","Depilação ","unit","0",0,"3.49","5.25","0","0",0,0,0,""
"","Colgate Escova de Dente Médium Display c/ 12","Higiene Pessoal","unit","10",0,"7.8","11.65","116.5","78","69.9","6","23.1","C:\\Users\\abner\\OneDrive\\Documents\\Discover Supply\\kyte_images_optimized\\colgate_escova_de_dente_m_dium_display_c__12.webp"
"","Bactimicina Lozenges - 3 cartelas com 6 pastilhas ","De La Cruz","unit","0",0,"3.49","5.45","0","0",0,0,0,""
"0024286150518","Super Macho ","De La Cruz","unit","0",0,"6.15","9.49","0","0",0,0,0,""
"0011418218604","Tabcin Gripe e Tosse 64/1","Farmácia ","unit","0",0,"18","25.2","0","0",0,0,0,"C:\\Users\\abner\\OneDrive\\Documents\\Discover Supply\\kyte_images_optimized\\tabcin_gripe_e_tosse_64_1.webp"
"7702011111951","Lollipop de Maracujá Colombina c/24","Balas","unit","0",0,"2.15","3.29","0","0",0,0,0,"C:\\Users\\abner\\OneDrive\\Documents\\Discover Supply\\kyte_images_optimized\\lollipop_de_maracuj__colombina_c_24.webp"
"7702011110800","Lollipop de Morango Colombina c/24","Balas","unit","0",0,"2.4","3.6","0","0",0,0,0,"C:\\Users\\abner\\OneDrive\\Documents\\Discover Supply\\kyte_images_optimized\\lollipop_de_morango_colombina_c_24.webp"
"7702011110794","Lollipop Sortido Colombina c/24 ","Balas","unit","0",0,"2.4","3.6","0","0",0,0,0,""
"7702993031957","Lollipop de Coco Colombina c/24 ","Balas","unit","0",0,"2.5","3.75","0","0",0,0,0,""
"","Pilão de Alumínio Heavy Duty ","Alumínio ","unit","16",0,"7.75","12.75","204","124","63.75","5","25",""
"","Repos Creme Mãos e Pés com Ureia","Higiene Pessoal","unit","0",0,"27.29","38.49","0","0",0,0,0,"C:\\Users\\abner\\OneDrive\\Documents\\Discover Supply\\kyte_images_optimized\\repos_creme_m_os_e_p_s_com_ureia.webp"
"7898281133196","Rolo de Depilar Belle Depil 50m","Depilação ","unit","0",0,"6.65","9.98","0","0",0,0,0,"C:\\Users\\abner\\OneDrive\\Documents\\Discover Supply\\kyte_images_optimized\\rolo_de_depilar_belle_depil_50m.webp"
"","Angels Intimus Gel 16oz - unidade ","Higiene Pessoal","unit","135",0,"4.7","6.99","943.65","634.5",0,0,0,""
