"Code","Name","Category","Unit","Current Stock","Minimum Stock","Cost","Price","Current Stock Value","Current Stock Cost","Amount Sold","Quantity Sold","Profit"
"","Leite de Magnésia Tradicional c/6","Farmácia ","unit","9",0,"18","28","252","162","28","1","10"
"","Leite de Magnésia Hortelã c/6","Farmácia ","unit","21",0,"18","28","588","378","28","1","10"
"","Pilão de Alumínio  Batido","Alumínio ","unit","0",0,"3.99","5.99","0","0",0,0,0
"","Giovanna Baby Giby Kit Shampoo, Condicionador, Sabomete e esponja","Farmácia ","unit","0",0,"9.45","14.19","0","0",0,0,0
"","Giovanna Baby Giby Kit Menina Shampoo, Condicionador, Sabonete e Esponja","Farmácia ","unit","0",0,"9.45","14.19","0","0",0,0,0
"","Hipoglos Pomada Amêndoas - unidade ","Farmácia ","unit","95",0,"9","16.95","1610.25","855","508.5","30","238.5"
"","Skala Creme Uva 1Kg c/6","Skala","unit","10",0,"16.99","22.99","229.899","169.899","272.63","14","20.77"
"","Skala Creme Acachonados 1kg c/6","Skala","unit","148",0,"16.99","22.99","3402.52","2514.52","749.39","37","253.96"
"","Skala Creme Melancia 1kg c/6","Skala","unit","9",0,"16.99","22.99","206.91","152.91",0,0,0
"","Skala Creme Morango 1kg c/6","","unit","9",0,"16.99","22.99","206.91","152.91","64.73","3","10.76"
"","Theraflu Day time Berry Burst","Farmácia ","unit","0",0,"24.95","37.45","0","0","74.9","2","25"
"","Fini Carmed Smurf - unidade","Fini ","unit","92",0,"5","6.9","634.800","460","248.4","36","68.4"
"","Fini Carmed Glitter 3 em 1 - unidade","Fini ","unit","298",0,"8","10.95","3263.1","2384","65.7","6","17.7"
"","Aleve Strength Box/25 caplets ","","unit","4",0,"9.75","14.65","58.6","39",0,0,0
"","Lufbem ","Farmácia ","unit","0",0,"8.45","8.45","0","0","295.75","35","0"
"","Mata Piolho 2oz","","unit","24",0,"4.42","6.65","159.600","106.08","119.7","18","40.14"
"","DLC Pomada Acne 2.6oz","De La Cruz","unit","11",0,"35.4","49.8","547.8","389.4",0,0,0
"","Lola Óleo Pinga Patauá e Moringa","Lola ","unit","6",0,"83.4","107.4","644.400","500.400","429.6","4","96"
"","DLC Óleo de Côco Líquido 2.2oz - c/12","Novex ","unit","91",0,"21","34","3094","1911","340","10","130"
"","Dove Spray Classic 200ml","Desodorante ","unit","0",0,"32.04","44.95","0","0",0,0,0
"","Dove Spray Powder Soft 200ml","Desodorante ","unit","0",0,"32.52","45.75","0","0",0,0,0
"","Dove Spray Invisible Dry 250ml","Desodorante ","unit","8",0,"34.44","48.9","391.2","275.52","830.3","17","244.82"
"","Dove Spray Cucumber 250ml","Desodorante ","unit","8",0,"34.44","48.9","391.2","275.52","878.25","18","258.33"
"","Rexona Spray Bambu/Aloe Vera 200ml Caixa com 12","Desodorante ","unit","9",0,"27.6","42.75","384.75","248.4","1,023.15","24","360.75"
"","Rexona Spray Antibacterial Protector 200ml Caixa com 12","Desodorante ","unit","29",0,"24","42.75","1239.75","696","1,365.15","32","597.15"
"","Rexona Spray Cotton Dry 200ml Caixa com 12","Desodorante ","unit","17",0,"26.4","42.75","726.75","448.799","1,319.55","31","501.15"
"","Rexona Spray Powder Dry 200ml caixa com 12","Desodorante ","unit","9",0,"26.4","42.75","384.75","237.6","849.3","20","321.3"
"","Rexona Spray Invisible Black/White 200ml Caixa com 12","Desodorante ","unit","17",0,"26.4","42.75","726.75","448.799","1,325.25","31","506.85"
"","Capilo Óleo Argan 2oz c/12","Capilo","unit","7",0,"45.96","64.9","454.300","321.72","194.7","3","56.82"
"","Aldu Minoxidil Ampolla c/6","Produtos de Cabelo","unit","90",0,"11.48","16.9","1520.999","1033.2","33.8","2","10.84"
"","Belami Bicarbonato de Sódio 3oz","Farmácia ","unit","75",0,"14.28","21.6","1620","1071","86.4","4","29.28"
"","Belami Bicarbonato de Sódio 4oz c/12","Farmácia ","unit","29",0,"19.44","27.48","796.92","563.76","219.84","8","64.32"
"","Dr. Pé - Gel Fresco para Pés  unidade","Farmácia ","unit","6",0,"3.95","5.53","33.18","23.700","33.18","6","9.48"
"","Capilo Pro Bálsamo para Pés  6.7oz unidade","Capilo","unit","54",0,"3.83","5.75","310.5","206.82","69","12","23.04"
"","Dermaline Arnica Preta  - unidade","Farmácia ","unit","84",0,"2.38","3.6","302.400","199.92","64.8","18","21.96"
"","Dermaline Anti-Age Creme 2oz unidade ","Fashion","unit","66",0,"3.4","5.25","346.5","224.4",0,0,0
"","Redsy Condicionador Minoxidil 16oz","Diversos","unit","54",0,"3.08","4.95","267.3","166.32","1,514.7","306","572.22"
"","Redsy Tratamento Minoxidil 16oz","Diversos","unit","90",0,"4.72","6.99","629.1","424.799","2,055.06","294","667.38"
"","Redsy Leave-in Minoxidil 8oz","Diversos","unit","96",0,"4.51","6.75","648","432.96","567","84","188.16"
"","Grisi Sabonete Geleia Real c/12","Diversos","unit","94",0,"14.88","22.35","2100.9","1398.72",0,0,0
"","Resfridol Xarope Expectorante 120ml","Farmácia ","unit","0",0,"3.36","5.9","0","0","94.4","16","40.64"
"","Resfridol Xarope Antigripal 120ml","Farmácia ","unit","0",0,"3.36","5.9","0","0","94.4","16","40.64"
"","Resfridol Xarope para Tosse 120ml","Farmácia ","unit","0",0,"3.36","5.9","0","0",0,0,0
"","Protex Sabonete Balance Saudavel c/12","Higiene Pessoal","unit","96",0,"13.68","19.99","1919.04","1313.28","19.99","1","6.31"
"","Protex Sabonete Aveia 3.9oz - c/12","Higiene Pessoal","unit","92",0,"13.68","19.99","1839.08","1258.56","39.98","2","12.62"
"","Protex Sabonete Limpeza Saudavel 3.9oz - c/12","Higiene Pessoal","unit","0",0,"13.68","19.99","0","0",0,0,0
"","Saimed Pomada antibiótico Gentamicina B. Clotrimazol Creme 30g","Farmácia ","unit","0",0,"5.1","9.9","0","0","29.7","3","14.4"
"","Natura Farma Colágeno c/ Biotina 100/1 cap","","unit","16",0,"11.89","16.9","270.4","190.24","16.9","1","5.01"
"","Estomazil Laranja com 50 envelopes","Farmácia ","unit","0",0,"75","99","0","0","792","8","192"
"","Eno Abacaxi 30 envelope ","","unit","0",0,"30","49.9","0","0",0,0,0
"","Eno Laranja 30 envelope ","Farmácia ","unit","0",0,"30","49.9","0","0",0,0,0
"","Resfenol cartela com 20 comp.","Farmácia ","unit","54",0,"8","12.9","696.6","432","845.6","64","333.6"
"","Dfx com 30 cartela","Farmácia ","unit","20",0,"80","132","2640","1600","5,542","42","2,182"
"","Izomax Cetoconozol Creme 30mg - unidade","Farmácia ","unit","18",0,"10","16.9","304.2","180","236.6","14","96.6"
"","Nsdna cx c/50 Blister  4/comp ","Farmácia ","unit","0",0,"140","196","0","0",0,0,0
"","Eno Limão com 30 envelope","Farmácia ","unit","0",0,"30","49.9","0","0",0,0,0
"","Boldobeba com 60","Farmácia ","unit","21",0,"25","38.9","816.9","525","972.52","27","297.52"
"","Resfenol cartela com 5 caixa com 40 cartelas","","unit","0",0,"96","144","0","0",0,0,0
"","Nebacetin Pomada","Farmácia ","unit","0",0,"9","13.5","0","0","81","6","27"
